t_s,nu,eclipsed,p_gen_w,p_house_w,p_surplus_w
4420.0,1.000000,0,525.3881,45.00,480.3881
4430.0,1.000000,0,525.3886,45.00,480.3886
4440.0,1.000000,0,525.3891,45.00,480.3891
4450.0,1.000000,0,525.3896,45.00,480.3896
4460.0,1.000000,0,525.3901,45.00,480.3901
4470.0,1.000000,0,525.3906,45.00,480.3906
4480.0,1.000000,0,525.3911,45.00,480.3911
4490.0,1.000000,0,525.3915,45.00,480.3915
4500.0,1.000000,0,525.3920,45.00,480.3920
4510.0,1.000000,0,525.3925,45.00,480.3925
4520.0,1.000000,0,525.3930,45.00,480.3930
4530.0,1.000000,0,525.3935,45.00,480.3935
4540.0,1.000000,0,525.3940,45.00,480.3940
4550.0,1.000000,0,525.3945,45.00,480.3945
4560.0,1.000000,0,525.3950,45.00,480.3950
4570.0,1.000000,0,525.3955,45.00,480.3955
4580.0,1.000000,0,525.3960,45.00,480.3960
4590.0,1.000000,0,525.3965,45.00,480.3965
4600.0,1.000000,0,525.3970,45.00,480.3970
4610.0,1.000000,0,525.3975,45.00,480.3975
4620.0,1.000000,0,525.3980,45.00,480.3980
4630.0,1.000000,0,525.3985,45.00,480.3985
4640.0,1.000000,0,525.3990,45.00,480.3990
4650.0,1.000000,0,525.3995,45.00,480.3995
4660.0,1.000000,0,525.4000,45.00,480.4000
4670.0,1.000000,0,525.4005,45.00,480.4005
4680.0,1.000000,0,525.4010,45.00,480.4010
4690.0,1.000000,0,525.4015,45.00,480.4015
4700.0,1.000000,0,525.4020,45.00,480.4020
4710.0,1.000000,0,525.4025,45.00,480.4025
4720.0,1.000000,0,525.4030,45.00,480.4030
4730.0,1.000000,0,525.4035,45.00,480.4035
4740.0,1.000000,0,525.4040,45.00,480.4040
4750.0,1.000000,0,525.4044,45.00,480.4044
4760.0,1.000000,0,525.4049,45.00,480.4049
4770.0,1.000000,0,525.4054,45.00,480.4054
4780.0,1.000000,0,525.4059,45.00,480.4059
