t_s,nu,eclipsed,p_gen_w,p_house_w,p_surplus_w
4740.0,1.000000,0,571.4987,45.00,526.4987
4750.0,1.000000,0,571.4987,45.00,526.4987
4760.0,1.000000,0,571.4987,45.00,526.4987
4770.0,1.000000,0,571.4986,45.00,526.4986
4780.0,1.000000,0,571.4986,45.00,526.4986
4790.0,1.000000,0,571.4985,45.00,526.4985
4800.0,1.000000,0,571.4985,45.00,526.4985
4810.0,1.000000,0,571.4984,45.00,526.4984
4820.0,1.000000,0,571.4984,45.00,526.4984
4830.0,1.000000,0,571.4983,45.00,526.4983
4840.0,1.000000,0,571.4983,45.00,526.4983
4850.0,1.000000,0,571.4982,45.00,526.4982
4860.0,1.000000,0,571.4982,45.00,526.4982
4870.0,1.000000,0,571.4982,45.00,526.4982
4880.0,1.000000,0,571.4981,45.00,526.4981
4890.0,1.000000,0,571.4981,45.00,526.4981
4900.0,1.000000,0,571.4980,45.00,526.4980
4910.0,1.000000,0,571.4980,45.00,526.4980
4920.0,1.000000,0,571.4979,45.00,526.4979
4930.0,1.000000,0,571.4979,45.00,526.4979
4940.0,1.000000,0,571.4978,45.00,526.4978
4950.0,1.000000,0,571.4978,45.00,526.4978
4960.0,1.000000,0,571.4977,45.00,526.4977
4970.0,1.000000,0,571.4977,45.00,526.4977
4980.0,1.000000,0,571.4977,45.00,526.4977
4990.0,1.000000,0,571.4976,45.00,526.4976
5000.0,1.000000,0,571.4976,45.00,526.4976
5010.0,1.000000,0,571.4975,45.00,526.4975
5020.0,1.000000,0,571.4975,45.00,526.4975
5030.0,1.000000,0,571.4974,45.00,526.4974
5040.0,1.000000,0,571.4974,45.00,526.4974
5050.0,1.000000,0,571.4973,45.00,526.4973
5060.0,1.000000,0,571.4973,45.00,526.4973
5070.0,1.000000,0,571.4972,45.00,526.4972
5080.0,1.000000,0,571.4972,45.00,526.4972
5090.0,1.000000,0,571.4972,45.00,526.4972
5100.0,1.000000,0,571.4971,45.00,526.4971
5110.0,1.000000,0,571.4971,45.00,526.4971
5120.0,1.000000,0,571.4970,45.00,526.4970
5130.0,1.000000,0,571.4970,45.00,526.4970
5140.0,1.000000,0,571.4969,45.00,526.4969
5150.0,1.000000,0,571.4969,45.00,526.4969
5160.0,1.000000,0,571.4968,45.00,526.4968
5170.0,1.000000,0,571.4968,45.00,526.4968
5180.0,1.000000,0,571.4968,45.00,526.4968
5190.0,1.000000,0,571.4967,45.00,526.4967
5200.0,1.000000,0,571.4967,45.00,526.4967
5210.0,1.000000,0,571.4966,45.00,526.4966
5220.0,1.000000,0,571.4966,45.00,526.4966
5230.0,1.000000,0,571.4965,45.00,526.4965
5240.0,1.000000,0,571.4965,45.00,526.4965
5250.0,1.000000,0,571.4964,45.00,526.4964
